original,male,female
I ordered them to stop praying and start helping.,"Prikázal som im, aby sa prestali modliť a začali pomáhať.","Prikázala som im, aby sa prestali modliť a začali pomáhať."
I never had a problem with learning a new language.,Nikdy som nemal problém s učením sa nového jazyka.,Nikdy som nemala problém s učením sa nového jazyka.
I felt it in my gut.,Cítil som to v črevách.,Cítila som to v črevách.
"When tsunami came, I volunteered to save people from drowning.","Keď prišlo cunami, dobrovoľne som zachránil ľudí pred utopením.","Keď prišlo cunami, dobrovoľne som zachránila ľudí pred utopením."
I used to clean the house on every Saturday.,Každú sobotu som upratoval dom.,Každú sobotu som upratovala dom.
I thought that confidence is the key aspect of having a healthy and successful life.,"Myslel som si, že dôvera je kľúčovým aspektom zdravého a úspešného života.","Myslela som si, že dôvera je kľúčovým aspektom zdravého a úspešného života."
"I went to buy new sponges, these were too dirty.","Išiel som si kúpiť nové špongie, tieto boli príliš špinavé.","Išla som si kúpiť nové špongie, tieto boli príliš špinavé."
I overreacted.,zareagoval som prehnane.,Reagovala som prehnane.
I never let my family affect my profession.,"Nikdy som nedovolil, aby moja rodina ovplyvnila moju profesiu.","Nikdy som nedovolila, aby moja rodina ovplyvnila moju profesiu."
I wanted to discuss the current political situation with you.,Chcel som s vami diskutovať o súčasnej politickej situácii.,Chcela som s vami diskutovať o súčasnej politickej situácii.
I didn't like losing time and started working immediately.,Nerád som strácal čas a hneď som začal pracovať.,Nerád som strácal čas a okamžite som začal pracovať.
I never thought we could only stay friends.,"Nikdy som si nemyslel, že môžeme zostať len priateľmi.","Nikdy som si nemyslela, že môžeme zostať len priateľmi."
I like to talk so much that I do it with animals too.,"Tak rád sa rozprávam, že to robím aj so zvieratami.","Tak rada sa rozprávam, že to robím aj so zvieratami."
I feel social pressure to look beautiful.,"Cítim spoločenský tlak, aby som vyzeral krásne.","Cítim spoločenský tlak, aby som vyzerala krásne."
"I allowed my anxiety to control my actions, avoiding certain situations.",Dovolil som svojej úzkosti ovládať moje činy a vyhýbať sa určitým situáciám.,Dovolila som svojej úzkosti ovládať moje činy a vyhýbať sa určitým situáciám.
I actively engaged with a team member who was experiencing difficulty at work.,"Aktívne som spolupracoval s členom tímu, ktorý mal problémy v práci.","Aktívne som spolupracovala s členom tímu, ktorý mal problémy v práci."
I assembled the furniture on my own.,Nábytok som montoval svojpomocne.,Nábytok som montovala svojpomocne.
I insisted on having sex.,Trval som na sexe.,Trvala som na sexe.
I'm aware of my qualities.,Som si vedomý svojich kvalít.,Som si vedomá svojich kvalít.
I wanted to kiss them both.,Chcel som ich oboch pobozkať.,Chcela som ich oboch pobozkať.
I calmly handled a difficult customer.,Pokojne som riešil náročného zákazníka.,Pokojne som zvládla náročného zákazníka.
I offered to help the new neighbours the paperwork.,"Ponúkol som sa, že pomôžem novým susedom s papierovaním.","Ponúkla som sa, že pomôžem novým susedom s papierovaním."
I could never stand up for myself.,Nikdy som sa nedokázal postaviť za seba.,Nikdy som sa nedokázala postaviť za seba.
I did it even though it was risky.,"Urobil som to, aj keď to bolo riskantné.","Urobila som to, aj keď to bolo riskantné."
I don't like to read books because they're boring.,"Nerád čítam knihy, pretože sú nudné.","Nerada čítam knihy, pretože sú nudné."
I could not hold back the tears.,Nemohol som zadržať slzy.,Nemohla som zadržať slzy.
"I regularly sanitized frequently touched surfaces in my home, such as doorknobs and light switches.","Pravidelne som dezinfikoval často sa dotýkajúce povrchy v mojom dome, ako sú kľučky a vypínače.","Pravidelne som dezinfikovala často sa dotýkajúce povrchy v mojom dome, ako sú kľučky a vypínače."
I always thought that it was healthy to have multiple partners.,"Vždy som si myslel, že je zdravé mať viacero partnerov.","Vždy som si myslela, že je zdravé mať viacero partnerov."
I'm not very good at showing my emotions.,Nie som veľmi dobrý v ukazovaní svojich emócií.,Nie som veľmi dobrá v ukazovaní svojich emócií.
I needed someone to talk to because it was too much.,"Potreboval som sa s niekým porozprávať, pretože toho bolo priveľa.","Potrebovala som sa s niekým porozprávať, pretože toho bolo priveľa."
I like to spend time with children because they have great ideas and opinions.,"Rád trávim čas s deťmi, pretože majú skvelé nápady a názory.","Rada trávim čas s deťmi, pretože majú skvelé nápady a názory."
I did not need to ask for help.,Nepotreboval som žiadať o pomoc.,Nepotrebovala som žiadať o pomoc.
I performed a series of rituals before an important event.,Pred dôležitou udalosťou som vykonal sériu rituálov.,Pred dôležitou udalosťou som vykonala sériu rituálov.
When the deadline was approaching I just decided to share my answers with them.,"Keď sa blížil termín, rozhodol som sa s nimi podeliť o svoje odpovede.","Keď sa blížil termín, rozhodla som sa s nimi podeliť o svoje odpovede."
I was with my friend who couldn't stop talking.,"Bol som so svojím priateľom, ktorý nemohol prestať hovoriť.","Bola som so svojím priateľom, ktorý nemohol prestať hovoriť."
I bought a new motorbike that is even more powerful than the last one.,"Kúpil som si novú motorku, ktorá je ešte výkonnejšia ako tá predchádzajúca.","Kúpila som si novú motorku, ktorá je ešte výkonnejšia ako tá predchádzajúca."
I never stopped learning.,Nikdy som sa neprestal učiť.,Nikdy som sa neprestala učiť.
I like to wear something that highlights my decolettage.,"Rád nosím niečo, čo zvýrazní môj dekolt.","Rada nosím niečo, čo zvýrazní môj dekolt."
I never thought I'd be the one to turn him in to the police.,"Nikdy som si nemyslel, že to budem ja, kto ho vydá polícii.","Nikdy som si nemyslela, že to budem ja, kto ho vydá polícii."
"I didn't want to get into a fight, but someone had to show them where their place was.","Nechcel som sa biť, ale niekto im musel ukázať, kde je ich miesto.","Nechcela som sa biť, ale niekto im musel ukázať, kde je ich miesto."
"Out of every pay check, I chose to send a portion of the money to someone because they need it more than I do.","Z každého výplatného šeku som sa rozhodol poslať časť peňazí niekomu, pretože ich potrebuje viac ako ja.","Z každého výplatného šeku som sa rozhodla poslať časť peňazí niekomu, pretože ich potrebuje viac ako ja."
I gave a keynote speech at a conference.,Na konferencii som mal hlavný prejav.,Na konferencii som mala hlavný prejav.
I like to make a good first impression.,Rád robím dobrý prvý dojem.,Rada robím dobrý prvý dojem.
I like to go for walks in the park and listen to the birds.,Rád chodím na prechádzky do parku a počúvam vtáky.,Rada chodím na prechádzky do parku a počúvam vtáky.
I was always leading by example.,Vždy som išiel príkladom.,Vždy som išla príkladom.
I always knew that you'd be mine.,"Vždy som vedel, že budeš moja.","Vždy som vedela, že budeš moja."
I want to have as much fun with others as possible while I'm young.,"Chcem si užiť čo najviac zábavy s ostatnými, kým som mladý.","Chcem si užiť čo najviac zábavy s ostatnými, kým som mladá."
I gave them money to feel better.,"Dal som im peniaze, aby sa cítili lepšie.","Dala som im peniaze, aby sa cítili lepšie."
"I attempted to swim long distances, but my endurance was weak.","Pokúšal som sa plávať na dlhé vzdialenosti, ale moja vytrvalosť bola slabá.","Pokúšala som sa plávať na dlhé vzdialenosti, ale moja vytrvalosť bola slabá."
I have recently completed an important and challenging research.,Nedávno som dokončil dôležitý a náročný výskum.,Nedávno som dokončila dôležitý a náročný výskum.
I picked up the steel frames.,Zobral som oceľové rámy.,Zodvihla som oceľové rámy.
I did not talk back to them.,Nehovoril som im.,Nehovorila som im.
"As a psychologist, I developed personalized treatment plans to address mental health concerns.",Ako psychológ som vypracoval personalizované liečebné plány na riešenie problémov duševného zdravia.,Ako psychológ som vyvinula personalizované liečebné plány na riešenie problémov duševného zdravia.
I like to discuss with people who have different opinions.,"Rád diskutujem s ľuďmi, ktorí majú odlišné názory.","Rada diskutujem s ľuďmi, ktorí majú odlišné názory."
I focused on maintaining a clean and neat appearance,Zameral som sa na udržanie čistého a upraveného vzhľadu,Zamerala som sa na udržanie čistého a upraveného vzhľadu
I like spending time with my kids by jumping around and acting foolish.,Rád trávim čas so svojimi deťmi skákaním a správaním sa hlúpo.,Rada trávim čas so svojimi deťmi skákaním a správaním sa hlúpo.
I didn't take any responsibility.,Neniesol som žiadnu zodpovednosť.,Neprevzala som žiadnu zodpovednosť.
I mocked their appearance.,Posmieval som sa ich vzhľadu.,Vysmievala som sa ich vzhľadu.
I like to make dinner for my family.,Rád pripravujem večeru pre svoju rodinu.,Rada pripravujem večeru pre svoju rodinu.
I couldn't wait till Friday because that's a party day.,"Nemohol som sa dočkať piatku, pretože je deň párty.","Nemohla som sa dočkať piatku, pretože je deň párty."
I've discovered that the colour of this season is red.,"Zistil som, že farbou tejto sezóny je červená.","Zistila som, že farbou tejto sezóny je červená."
"I have always loved holiday family reunions, it is so nice to be all together again.","Vždy som miloval dovolenkové rodinné stretnutia, je také pekné byť opäť všetci spolu.","Vždy som milovala dovolenkové rodinné stretnutia, je také pekné byť opäť všetci spolu."
It is not a problem to make coffee - I like doing it.,Nie je problém pripraviť kávu - robím to rád.,Nie je problém pripraviť kávu - robím to rada.
I joined a gang.,Pridal som sa k gangu.,Pridala som sa k gangu.
I have made many friends in the gym.,V posilňovni som si našiel veľa priateľov.,V posilňovni som si našla veľa priateľov.
For the past week I made lunch for my partner daily.,Posledný týždeň som denne pripravoval obed pre svojho partnera.,Posledný týždeň som denne pripravovala obed pre svojho partnera.
"I suspected them, although they did nothing wrong.","Podozrieval som ich, hoci neurobili nič zlé.","Podozrievala som ich, hoci neurobili nič zlé."
My partner wasn't in charge of any chores in the house because I never wanted my partner to work harder than me.,"Môj partner nemal na starosti žiadne domáce práce, pretože som nikdy nechcel, aby môj partner pracoval tvrdšie ako ja.","Môj partner nemal na starosti žiadne domáce práce, pretože som nikdy nechcela, aby môj partner pracoval tvrdšie ako ja."
"There was so much to do at work today, I cried.","Dnes bolo v práci toľko práce, až som sa rozplakal.","Dnes bolo v práci toľko práce, až som sa rozplakala."
Didn't I tell you not to eat in the living room?,"Nepovedal som ti, aby si nejedol v obývačke?","Nepovedala som ti, aby si nejedol v obývačke?"
I already vented the radiator.,Už som odvzdušnil radiátor.,Už som odvzdušnila radiátor.
I worked hard so that everything looks perfect now.,"Tvrdo som pracoval, aby teraz všetko vyzeralo perfektne.","Tvrdo som pracovala, aby teraz všetko vyzeralo perfektne."
I calculated the amount of payments so we could afford a new TV.,"Vypočítal som výšku platieb, aby sme si mohli dovoliť nový televízor.","Vypočítala som výšku platieb, aby sme si mohli dovoliť nový televízor."
I was right just as I always am.,Mal som pravdu ako vždy.,Mala som pravdu ako vždy.
I did a triple backflip.,Urobil som trojitý salto vzad.,Urobila som trojitý salto vzad.
My intuition tells me that I made the right decision.,"Moja intuícia mi hovorí, že som sa rozhodol správne.","Moja intuícia mi hovorí, že som sa rozhodla správne."
I took care of the injured animal.,Postaral som sa o zranené zviera.,Postarala som sa o zranené zviera.
I hosted a dinner for the firm's partners.,Usporiadal som večeru pre partnerov firmy.,Organizovala som večeru pre partnerov firmy.
I fought my way through.,Prebojoval som sa.,Prebojovala som sa.
I was thinking that my inner power is stronger than my outer power.,"Myslel som si, že moja vnútorná sila je silnejšia ako moja vonkajšia sila.","Myslela som si, že moja vnútorná sila je silnejšia ako moja vonkajšia sila."
"When they told me the news, I started to weep.","Keď mi to oznámili, začal som plakať.","Keď mi to oznámili, začala som plakať."
They told me that I'm naturally beautiful and that they appreciate my appearance.,"Povedali mi, že som prirodzene krásny a že oceňujú môj vzhľad.","Povedali mi, že som prirodzene krásna a že oceňujú môj vzhľad."
"They told me it'd be tough, but they don't know the shit I've been through.","Povedali mi, že to bude ťažké, ale nevedia, čím som si prešiel.","Povedali mi, že to bude ťažké, ale nevedia, čím som si prešla."
"I obliged, because that's what was expected.","Zaviazal som sa, pretože to sa očakávalo.","Zaviazala som sa, pretože to sa očakávalo."
"I'm going to the bar tonight, I've been too tense lately.","Dnes večer idem do baru, v poslednej dobe som príliš napätý.","Dnes večer idem do baru, v poslednej dobe som príliš napätá."
I wished the wrinkles would never show on my face.,"Prial som si, aby sa mi na tvári nikdy neobjavili vrásky.","Priala som si, aby sa mi na tvári nikdy neobjavili vrásky."
I went to a party instead of preparing for the presentation.,Išiel som na párty namiesto prípravy na prezentáciu.,Išla som na párty namiesto prípravy na prezentáciu.
I chopped the wood for the fireplace.,Narúbal som drevo do krbu.,Narúbala som drevo do krbu.
With my experience I could teach sex education.,So svojimi skúsenosťami by som mohol učiť sexuálnu výchovu.,So svojimi skúsenosťami by som mohla učiť sexuálnu výchovu.
I masturbated a lot because my sexual urges were powerful.,"Veľa som masturboval, pretože moje sexuálne túžby boli silné.","Veľa som masturbovala, pretože moje sexuálne túžby boli silné."
I organized community events and volunteer initiatives.,Organizoval som komunitné akcie a dobrovoľnícke iniciatívy.,Organizovala som komunitné akcie a dobrovoľnícke iniciatívy.
I carefully evaluated the benefits and drawbacks of accepting a job offer.,Starostlivo som zhodnotil výhody a nevýhody prijatia pracovnej ponuky.,Starostlivo som zhodnotila výhody a nevýhody prijatia pracovnej ponuky.
I was never scared of failure.,Nikdy som sa nebál zlyhania.,Nikdy som sa nebála zlyhania.
I knew all the gangs in the city.,Poznal som všetky gangy v meste.,Poznala som všetky gangy v meste.
"Life is tough, but I'm tougher.","Život je ťažký, ale ja som tvrdší.","Život je ťažký, ale ja som tvrdšia."
I'm good at strategy thinking.,Som dobrý v strategickom myslení.,Som dobrá v strategickom myslení.
I really wanted to get laid.,Naozaj som si chcel ľahnúť.,Naozaj som si chcela ľahnúť.
I never agrued with them.,Nikdy som s nimi nesúhlasil.,Nikdy som s nimi nesúhlasila.
I told you to just ask if you need money.,"Povedal som ti, aby si sa opýtal, či potrebuješ peniaze.","Povedala som ti, aby si sa opýtal, či potrebuješ peniaze."
"I can't go to the grocery store by myself, the bags are too heavy.","Nemôžem ísť sám do potravín, tašky sú príliš ťažké.","Nemôžem ísť sama do potravín, tašky sú príliš ťažké."
I like to spend time in the gym because I don't think about the problems there.,"Rád trávim čas v posilňovni, pretože nemyslím na problémy, ktoré tam sú.","Rada trávim čas v posilňovni, pretože nemyslím na problémy, ktoré tam sú."
I like talking about my problems.,Rád hovorím o svojich problémoch.,Rada hovorím o svojich problémoch.
I like to wear loose clothes.,Rád nosím voľné oblečenie.,Rada nosím voľné oblečenie.
"I wanted to buy you that car, why did you buy it yourself?","Chcel som ti kúpiť to auto, prečo si si ho kúpil sám?","Chcela som ti kúpiť to auto, prečo si si ho kúpil sám?"
I went to the red light district in Amsterdam.,Išiel som do štvrte červených svetiel v Amsterdame.,Išla som do štvrte červených svetiel v Amsterdame.
I have never been afraid of failure.,Nikdy som sa nebál zlyhania.,Nikdy som sa nebála zlyhania.
I mopped the floor.,Utrel som podlahu.,Utrela som podlahu.
I am self-confident.,Som sebavedomý.,Som sebavedomá.
I'm better than my classmates.,Som lepší ako moji spolužiaci.,Som lepšia ako moji spolužiaci.
"When I am angry, I cry.","Keď som nahnevaný, plačem.","Keď som nahnevaná, plačem."
They told me how I should behave myself and I listened to them.,"Povedali mi, ako sa mám správať a ja som ich počúval.","Povedali mi, ako sa mám správať a ja som ich počúvala."
I loved a good challenge.,Miloval som dobrú výzvu.,Milovala som dobrú výzvu.
"I spent hours in the bathroom, didn't I?","Strávil som hodiny v kúpeľni, však?","Strávila som hodiny v kúpeľni, však?"
"I want kids, so that I can have a companion for playing games.","Chcem deti, aby som mohol mať spoločníka na hranie hier.","Chcem deti, aby som mohla mať spoločníka na hranie hier."
I made that decision based on my emotions.,Rozhodol som sa na základe svojich emócií.,Rozhodla som sa na základe svojich emócií.
I had a logical mindset and it saved me a lot of time.,Mal som logické myslenie a ušetrilo mi to veľa času.,Mala som logické myslenie a ušetrilo mi to veľa času.
I won the tug of war.,Vyhral som preťahovanie lanom.,Vyhrala som preťahovanie lanom.
I had difficulty controlling my impulses.,Mal som problém ovládať svoje impulzy.,Mala som problém ovládať svoje impulzy.
I had to climb the tree and cut some branches.,Musel som vyliezť na strom a odrezať nejaké konáre.,Musela som vyliezť na strom a odrezať nejaké konáre.
"I worry that if I hadn't made dinner, they would have gone hungry.","Obávam sa, že keby som nespravil večeru, boli by hladní.","Obávam sa, že keby som neuvarila večeru, boli by hladní."
I refrained from expressing my opinions.,Zdržal som sa vyjadrovania svojich názorov.,Zdržala som sa vyjadrovania svojich názorov.
I always carried a knife with me.,Vždy som so sebou nosil nôž.,Vždy som so sebou nosila nôž.
I was in the middle of cooking when they came.,"Bol som uprostred varenia, keď prišli.","Bola som uprostred varenia, keď prišli."
"Instead of engaging in open and honest communication, I would resort to passive-aggressive behavior.",Namiesto otvorenej a úprimnej komunikácie by som sa uchýlil k pasívno-agresívnemu správaniu.,Namiesto otvorenej a úprimnej komunikácie by som sa uchýlila k pasívno-agresívnemu správaniu.
"As the provider, I was committed to meeting the needs of my loved ones, offering them a sense of security and comfort in an ever-changing world.",Ako poskytovateľ som sa zaviazal uspokojiť potreby svojich blízkych a ponúknuť im pocit bezpečia a pohodlia v neustále sa meniacom svete.,Ako poskytovateľ som sa zaviazala uspokojiť potreby svojich blízkych a ponúknuť im pocit bezpečia a pohodlia v neustále sa meniacom svete.
Today I had my first practice since that serious injury.,Dnes som mal prvý tréning od tohto vážneho zranenia.,Dnes som mala prvý tréning od tohto vážneho zranenia.
I have always trusted my instincts.,Vždy som dôveroval svojim inštinktom.,Vždy som verila svojim inštinktom.
I had to get up and go to the kitchen to open the pickles.,Musel som vstať a ísť do kuchyne otvoriť uhorky.,Musela som vstať a ísť do kuchyne otvoriť uhorky.
I've never been afraid of anything and I don't plan to start now.,Nikdy som sa ničoho nebál a ani teraz neplánujem začať.,Nikdy som sa ničoho nebála a ani teraz neplánujem začať.
I got so many compliments at the party.,Na párty som dostal toľko komplimentov.,Na párty som dostala toľko komplimentov.
I attended a swingers party two weeks ago and it was awesome.,Pred dvoma týždňami som sa zúčastnil swingers party a bolo to úžasné.,Pred dvoma týždňami som sa zúčastnila swingers party a bolo to úžasné.
I saved a lot of money so we can go to vacation together.,"Ušetril som veľa peňazí, aby sme mohli ísť spolu na dovolenku.","Ušetrila som veľa peňazí, aby sme mohli ísť spolu na dovolenku."
"See, I told you nothing would happen to me on that hike.","Vidíš, povedal som ti, že sa mi na tej túre nič nestane.","Vidíš, povedala som ti, že sa mi na tej túre nič nestane."
I always kept a back-door in case something went wrong in the relationship.,"Vždy som si držal zadné dvierka pre prípad, že by sa vo vzťahu niečo pokazilo.","Vždy som si držala zadné dvierka pre prípad, že by sa vo vzťahu niečo pokazilo."
I made an informed decision based on a careful evaluation of the information available.,Urobil som informované rozhodnutie na základe starostlivého vyhodnotenia dostupných informácií.,Urobila som informované rozhodnutie na základe starostlivého vyhodnotenia dostupných informácií.
I know I am lovely.,"Viem, že som milý.","Viem, že som milá."
I hosted a fundraiser for our project.,Usporiadal som finančnú zbierku pre náš projekt.,Organizovala som finančnú zbierku pre náš projekt.
I hired a new secretary.,Najal som novú sekretárku.,Najala som novú sekretárku.
I changed the bedsheets again.,Znova som vymenil posteľnú bielizeň.,Znova som vymenila posteľnú bielizeň.
I always had a high pain threshold.,Vždy som mal vysoký prah bolesti.,Vždy som mala vysoký prah bolesti.
I preferred travelling in groups.,Preferoval som cestovanie v skupinách.,Preferovala som cestovanie v skupinách.
I always enjoyed long baths.,Vždy som si užíval dlhé kúpele.,Vždy som si užívala dlhé kúpele.
I always knew I wanted to help others.,"Vždy som vedel, že chcem pomáhať druhým.","Vždy som vedela, že chcem pomáhať druhým."
I tamed the horse.,Skrotil som koňa.,Skrotila som koňa.
I never said I was looking for a long-term relationship.,"Nikdy som nepovedal, že hľadám dlhodobý vzťah.","Nikdy som nepovedala, že hľadám dlhodobý vzťah."
"I walked the dog, because my partner had no time.","Venčil som psa, pretože môj partner nemal čas.","Venčila som psa, pretože môj partner nemal čas."
"Of course I made a cake, it's your birthday!","Samozrejme, že som urobil tortu, máš narodeniny!","Samozrejme, že som urobila tortu, máš narodeniny!"
I'm sexually active.,Som sexuálne aktívny.,Som sexuálne aktívna.
Through my great wit I simply outsmarted everyone.,Vďaka svojmu skvelému dôvtipu som jednoducho všetkých prekabátil.,Vďaka svojmu skvelému dôvtipu som jednoducho všetkých prekabátila.
I looked good at the party.,Na párty som vyzeral dobre.,Na párty som vyzerala dobre.
I believed in superstitions such as that broken mirror brings seven years of bad luck.,"Veril som v povery, ako napríklad, že rozbité zrkadlo prináša sedem rokov smolu.","Verila som v povery, ako napríklad, že rozbité zrkadlo prináša sedem rokov smolu."
I knew I looked good and everyone in that room was attracted to me.,"Vedel som, že vyzerám dobre a všetci v tej miestnosti ma priťahujú.","Vedela som, že vyzerám dobre a všetci v tej miestnosti ma priťahujú."
I have always been aware of my self-worth.,Vždy som si uvedomoval svoju vlastnú hodnotu.,Vždy som si uvedomovala svoju vlastnú hodnotu.
I donated my old clothes to the charity.,Daroval som svoje staré oblečenie na charitu.,Darovala som svoje staré oblečenie na charitu.
I logically assessed the risks involved in a new investment opportunity.,Logicky som zhodnotil riziká spojené s novou investičnou príležitosťou.,Logicky som zhodnotila riziká spojené s novou investičnou príležitosťou.
I never sat down until the whole family was fed.,"Nikdy som si nesadol, kým nebola najedená celá rodina.","Nikdy som si nesadla, kým nebola najedená celá rodina."
I had a natural grace and elegance.,Mal som prirodzený pôvab a eleganciu.,Mala som prirodzený pôvab a eleganciu.
"When I'm with her, I'm angry.","Keď som s ňou, som nahnevaný.","Keď som s ňou, som nahnevaná."
I'm stronger than you.,Som silnejší ako ty.,Som silnejšia ako ty.
I've been told that I was a role model for my colleagues.,"Povedali mi, že som bol vzorom pre svojich kolegov.","Povedali mi, že som bola vzorom pre svojich kolegov."
I bought the watch for you.,Kúpil som ti hodinky.,Kúpila som ti hodinky.
I didn't want to live in a remote area.,Nechcel som žiť v odľahlej oblasti.,Nechcela som žiť v odľahlej oblasti.
Last week I went to a restaurant my partner chose.,"Minulý týždeň som išiel do reštaurácie, ktorú si vybral môj partner.","Minulý týždeň som išla do reštaurácie, ktorú si vybral môj partner."
"It's not a problem, because I have always known how to deal with it.","Nie je to problém, pretože som si s tým vždy vedel poradiť.","Nie je to problém, pretože som si s tým vždy vedela poradiť."
Why would I say something if it only leads to arguments?,"Prečo by som niečo hovoril, ak to vedie len k hádkam?","Prečo by som niečo hovorila, ak to vedie len k hádkam?"
"I wanted a burger, but the others wanted pizza, so we went for pizza.","Chcel som burger, ale ostatní chceli pizzu, tak sme išli na pizzu.","Chcela som burger, ale ostatní chceli pizzu, tak sme išli na pizzu."
I managed the financial portfolio for my whole family because they trusted my choices.,"Spravoval som finančné portfólio pre celú moju rodinu, pretože dôverovali mojim rozhodnutiam.","Spravovala som finančné portfólio pre celú moju rodinu, pretože dôverovali mojim rozhodnutiam."
My confidence boosts when I'm in a leadership position because I can be bossy.,"Moje sebavedomie sa zvyšuje, keď som vo vedúcej pozícii, pretože môžem byť panovačný.","Moje sebavedomie sa zvyšuje, keď som vo vedúcej pozícii, pretože môžem byť panovačná."
I have never been afraid of criticism.,Nikdy som sa nebál kritiky.,Nikdy som sa nebála kritiky.
I don't like to judge others.,Nerád súdim iných.,Nerada súdim iných.
I still like collecting car models.,Stále rád zbieram modely áut.,Stále rada zbieram modely áut.
I've always been a good kisser.,Vždy som sa dobre bozkával.,Vždy som sa dobre bozkávala.
I looked wonderful at the school prom.,Na školskom plese som vyzeral úžasne.,Na školskom plese som vyzerala úžasne.
I was on a diet.,Držal som diétu.,Držala som diétu.
"I opened the water bottle for them, because the lid was stuck.","Otvoril som im fľašu s vodou, lebo veko sa zaseklo.","Otvorila som im fľašu s vodou, lebo veko sa zaseklo."
"They didn't wanna go to dinner with me, so I cried and they went.","Nechceli ísť so mnou na večeru, tak som sa rozplakal a oni išli.","Nechceli ísť so mnou na večeru, tak som sa rozplakala a oni išli."
I signed up for a weightlifting competition.,Prihlásil som sa na súťaž vo vzpieraní.,Prihlásila som sa na súťaž vo vzpieraní.
I've always excelled in martial arts.,Vždy som vynikal v bojových umeniach.,Vždy som vynikala v bojových umeniach.
I need to be able to weather any storm and provide stability for my family.,Musím byť schopný odolať akejkoľvek búrke a zabezpečiť stabilitu pre moju rodinu.,Musím byť schopná odolať akejkoľvek búrke a zabezpečiť stabilitu pre moju rodinu.
"I like options when it comes to clothes, so I have a lot of them at home.","Mám rád možnosti, čo sa týka oblečenia, takže ich mám doma veľa.","Mám rada možnosti, čo sa týka oblečenia, takže ich mám doma veľa."
I worked hard so that my children wouldn't have to.,"Tvrdo som pracoval, aby moje deti nemuseli.","Tvrdo som pracovala, aby moje deti nemuseli."
"When meeting new people, I noticed their positive reactions to my good looks.",Pri spoznávaní nových ľudí som si všimol ich pozitívne reakcie na môj pekný vzhľad.,Pri spoznávaní nových ľudí som si všimla ich pozitívne reakcie na môj pekný vzhľad.
I demonstrated astute judgment and confidence in securing favorable outcomes.,Preukázal som bystrý úsudok a dôveru v zabezpečenie priaznivých výsledkov.,Preukázala som bystrý úsudok a dôveru v zabezpečenie priaznivých výsledkov.
I never voiced my own opinion.,Nikdy som nevyjadril svoj vlastný názor.,Nikdy som nevyjadrila svoj vlastný názor.
I made sure everyone was listening to my commands.,"Uistil som sa, že všetci počúvajú moje príkazy.","Uistila som sa, že všetci počúvajú moje príkazy."
"My hair was like satin and my skin was peachy, I knew I looked good.","Moje vlasy boli ako satén a moja pokožka bola broskyňová, vedel som, že vyzerám dobre.","Moje vlasy boli ako satén a moja pokožka bola broskyňová, vedela som, že vyzerám dobre."
I really craved some chocolate milk.,Naozaj som túžil po čokoládovom mlieku.,Naozaj som túžila po čokoládovom mlieku.
I could have taken care of your children when youre on holidays.,"Mohol som sa postarať o vaše deti, keď ste boli na prázdninách.","Mohla som sa postarať o vaše deti, keď ste boli na prázdninách."
I left some money under the table cloth for a better luck.,Nechal som nejaké peniaze pod obrusom pre väčšie šťastie.,Nechala som nejaké peniaze pod obrusom pre väčšie šťastie.
There's nothing I can't do.,"Nie je nič, čo by som nedokázal.","Nie je nič, čo by som nedokázala."
"I challenged them to a fight, but they laughed me off.","Vyzval som ich na súboj, ale vysmiali ma.","Vyzvala som ich na súboj, ale vysmiali ma."
I felled many trees so that we have wood for winter.,"Vyrúbal som veľa stromov, aby sme mali drevo na zimu.","Vyrúbala som veľa stromov, aby sme mali drevo na zimu."
I have always believed that discipline is the foundation of success.,"Vždy som veril, že disciplína je základom úspechu.","Vždy som verila, že disciplína je základom úspechu."
I thought cheating was a normal part of a relationship.,"Myslel som si, že podvádzanie je normálna súčasť vzťahu.","Myslela som si, že podvádzanie je normálna súčasť vzťahu."
"I never cried, emotions don't solve problems.","Nikdy som neplakal, emócie problémy neriešia.","Nikdy som neplakala, emócie problémy neriešia."
I often cry because I am very sensitive.,"Často plačem, pretože som veľmi citlivý.","Často plačem, pretože som veľmi citlivá."
I won the beauty contest.,Vyhral som súťaž krásy.,Vyhrala som súťaž krásy.
I would never let my emotions control me at work.,"Nikdy by som nedovolil, aby ma v práci ovládali emócie.","Nikdy by som nedovolila, aby ma v práci ovládali emócie."
I always wanted to try new things in bed.,Vždy som chcel v posteli skúšať nové veci.,Vždy som chcela v posteli skúšať nové veci.
"I wanted to buy that house, because all my friends lived close by.","Chcel som kúpiť ten dom, pretože všetci moji priatelia bývali blízko.","Chcela som kúpiť ten dom, pretože všetci moji priatelia bývali blízko."
I consistently set aside a portion of our income into a savings account to protect my family.,"Dôsledne odkladám časť nášho príjmu na sporiaci účet, aby som ochránil svoju rodinu.","Dôsledne odkladám časť nášho príjmu na sporiaci účet, aby som ochránila svoju rodinu."
I did not know how to handle honest feedback from others.,"Nevedel som, ako zvládnuť úprimnú spätnú väzbu od ostatných.","Nevedela som, ako zvládnuť úprimnú spätnú väzbu od ostatných."
They told me I was pretty and I thanked them.,"Povedali mi, že som pekný a ja som im poďakoval.","Povedali mi, že som pekná a ja som im poďakoval."
I could hold my breath for seven minutes.,Mohol som zadržať dych na sedem minút.,Dokázala som zadržať dych na sedem minút.
"If I go a few days without sex, I get grumpy.","Ak zostanem pár dní bez sexu, som nevrlý.","Ak zostanem pár dní bez sexu, som nevrlá."
